D,1000,1000,1000,1000,1000,1000,1000,1000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
N,10,10,50,50,100,100,500,500,10,10,50,50,100,100,500,500
rw,r,rw,r,rw,r,rw,r,rw,r,rw,r,rw,r,rw,r,rw
1,0.001487,0.000175,0.001108,0.001093,0.002081,0.002014,0.010245,0.010319,0.000193,0.00014,0.000764,0.000678,0.002199,0.00175,0.010623,0.010311
2,0.000261,0.000282,0.001087,0.000945,0.001942,0.001731,0.010778,0.010301,0.000189,0.000157,0.000834,0.00067,0.001767,0.001498,0.010036,0.010329
3,0.000235,0.00018,0.000864,0.000732,0.001995,0.001774,0.010507,0.010458,0.00021,0.000147,0.000839,0.000731,0.001545,0.001463,0.010956,0.009751
4,0.00018,0.000151,0.001088,0.000932,0.001628,0.001574,0.011332,0.01055,0.000172,0.000134,0.000886,0.000748,0.002665,0.001656,0.010139,0.010793
5,0.000221,0.00023,0.001207,0.000887,0.001726,0.001423,0.013764,0.011692,0.000199,0.000168,0.000775,0.00074,0.001701,0.001522,0.009958,0.009794
6,0.000207,0.000178,0.001039,0.000961,0.00195,0.001788,0.011492,0.010424,0.0002,0.000161,0.000812,0.000717,0.001859,0.002079,0.01057,0.01037
7,0.000287,0.000264,0.00085,0.000814,0.001709,0.00156,0.011011,0.010344,0.000185,0.000162,0.000877,0.000747,0.00171,0.001543,0.010543,0.009973
8,0.000264,0.000233,0.000903,0.000734,0.001939,0.001795,0.010271,0.010248,0.000175,0.000137,0.000778,0.000746,0.002131,0.001811,0.010537,0.010694
9,0.000305,0.000223,0.000884,0.000767,0.00168,0.00155,0.010526,0.011464,0.000176,0.000139,0.000834,0.000754,0.001617,0.001549,0.012182,0.011623
10,0.000223,0.000186,0.000836,0.000723,0.001657,0.001556,0.010673,0.010208,0.000228,0.000262,0.001064,0.001064,0.001574,0.001541,0.010232,0.010261
avg,367,210.2,986.6,858.8,1830.7,1676.5,11059.9,10600.8,192.7,160.7,846.3,759.5,1876.8,1641.2,10577.6,10389.9
